Quel animal produit du lait ?,VACHE
Quel est le petit de la poule ?,POUSSIN
De quoi se nourrissent les pandas ?,BAMBOU
Combien de pattes a une mouche ?,SIX
Quel organe nous permet d'entendre ?,OREILLES
Quel est le liquide rouge dans le corps ?,SANG
Que respirent les poissons dans l'eau ?,OXYGENE
Quel organe permet aux poissons de respirer ?,BRANCHIES
Quel est l'os le plus long du corps humain ?,FEMUR
Comment s'appelle le squelette de la tete ?,CRANE
Quel animal a le plus long cou ?,GIRAFE
Quel astre rechauffe la Terre ?,SOLEIL
Dans quoi pousse une plante ?,TERRE
De quel liquide les plantes ont-elles besoin ?,EAU
Quel est le contraire de carnivore ?,HERBIVORE
Quel animal porte sa maison sur son dos ?,ESCARGOT
Combien de pattes a une araignee ?,HUIT
Quel organe sert a voir ?,YEUX
Quelle partie de l'arbre est sous terre ?,RACINES
Quel animal est le roi de la savane ?,LION
Quel organe pompe le sang ?,COEUR
Combien de poumons a l'etre humain ?,DEUX
Quel gaz est necessaire a la respiration ?,DIOXYGENE
Quel gaz rejetons-nous quand on souffle ?,DIOXYDE DE CARBONE
Dans quel organe sont digeres les aliments ?,ESTOMAC
Ou passent les nutriments dans le sang ?,INTESTIN GRELE
Quel organe filtre le sang pour faire l'urine ?,REINS
Quel est le nom des dents pointues ?,CANINES
Quelle est l'unite de base du vivant ?,CELLULE
Quel instrument permet d'observer des cellules ?,MICROSCOPE
Comment s'appelle le magma une fois sorti du volcan ?,LAVE
Quel appareil enregistre les seismes ?,SISMOGRAPHE
Comment s'appellent les restes d'animaux dans la roche ?,FOSSILES
Quel phenomene fait trembler la terre ?,SEISME
Quel organe commande les muscles ?,CERVEAU
Comment s'appelle la periode de transformation a l'adolescence ?,PUBERTE
Quel est le gamete reproducteur masculin ?,SPERMATOZOIDE
Quel est le gamete reproducteur feminin ?,OVULE
Ou grandit le bebe pendant la grossesse ?,UTERUS
Quel liquide sort du volcan ?,LAVE
Combien de paires de chromosomes a l'humain ?,23
Que contient le noyau de la cellule ?,ADN
Quelle cellule transporte l'oxygene ?,GLOBULE ROUGE
Quelle cellule defend le corps contre les maladies ?,GLOBULE BLANC
Quel micro-organisme ne peut pas se reproduire seul ?,VIRUS
Contre quoi luttent les antibiotiques ?,BACTERIES
Quel est le groupe sanguin donneur universel ?,O
Quel vaisseau sanguin part du coeur ?,ARTERE
Quel vaisseau sanguin revient au coeur ?,VEINE
Comment s'appellent les sacs d'air dans les poumons ?,ALVEOLES
Quel pigment donne la couleur verte aux plantes ?,CHLOROPHYLLE
Quelle partie de la plante fait la photosynthese ?,FEUILLE
Comment s'appelle la cellule nerveuse ?,NEURONE
Quel nom donne-t-on aux plaques qui forment la surface de la Terre ?,TECTONIQUES
Quelle barriere protege la Terre des UV ?,COUCHE D OZONE
Quel organe detruit les toxines et l'alcool ?,FOIE
Comment appelle-t-on une modification de l'ADN ?,MUTATION
Quel est le nom scientifique du sel ?,CHLORURE DE SODIUM
Quelles substances chimiques fabriquent les organes sexuels ?,HORMONES
Quel systeme protege le corps des infections ?,IMMUNITAIRE
