Qui a construit le chateau de Versailles ?,LOUIS XIV
Quel pays a fait la guerre a la France en 14-18 ?,ALLEMAGNE
Comment s'appellent les guerriers du Moyen Age a cheval ?,CHEVALIERS
Qui a decouvert l'Amerique ?,CHRISTOPHE COLOMB
Quelle est la devise de la Republique francaise ?,LIBERTE EGALITE FRATERNITE
Quel empereur a fini ses jours sur l'ile de Sainte-Helene ?,NAPOLEON
Dans quel pays se trouvent les pyramides ?,EGYPTE
Quel peuple a invente les Jeux Olympiques ?,GRECS
Qui portait une etoile jaune pendant la guerre ?,JUIFS
Quel roi se faisait appeler le Roi-Soleil ?,LOUIS XIV
Quel monument est le symbole de Paris ?,TOUR EIFFEL
Comment s'appelle l'ecriture des Egyptiens ?,HIEROGLYPHES
Qui a ete le premier president des Etats-Unis ?,GEORGE WASHINGTON
Quel jour fete-t-on la fete nationale francaise ?,14 JUILLET
Quelle religion prient les musulmans ?,ISLAM
Qui habitait en France avant les Romains ?,GAULOIS
Quel animal chassaient les hommes prehistoriques ?,MAMMOUTH
Quelle guerre a dure de 1939 a 1945 ?,SECONDE GUERRE MONDIALE
Quel objet servait a couper la tete des rois ?,GUILLOTINE
Qui a peint la Joconde ?,LEONARD DE VINCI
Qui a invente l'imprimerie ?,GUTENBERG
Quelle ville sainte les Croises voulaient-ils delivrer ?,JERUSALEM
Quel roi a ete guillotine pendant la Revolution ?,LOUIS XVI
Qui a brule Jeanne d'Arc ?,ANGLAIS
Quelle annee marque le debut de la Revolution francaise ?,1789
Quel navigateur a fait le premier tour du monde ?,MAGELLAN
Qui a ecrit la Declaration des Droits de l'Homme ?,REVOLUTIONNAIRES
Quel roi de France a signe l'Edit de Nantes ?,HENRI IV
Comment appelle-t-on les paysans au Moyen Age ?,VILLAINS
Quelle periode de l'histoire vient apres le Moyen Age ?,RENAISSANCE
Qui a sacre Charlemagne empereur ?,PAPE
Quel chateau a ete pris par le peuple le 14 juillet 1789 ?,BASTILLE
Qui etait le chef des nazis ?,HITLER
Quel pays a attaque Pearl Harbor ?,JAPON
Quelle maladie a tue beaucoup de gens au Moyen Age ?,PESTE NOIRE
Qui a fonde la ville de Quebec ?,CHAMPLAIN
Quel roi francais a regne le plus longtemps ?,LOUIS XIV
En quelle annee a eu lieu la bataille de Marignan ?,1515
Quel general a pris le pouvoir en 1799 ?,NAPOLEON
Quel est le livre sacre des chretiens ?,BIBLE
Qui a lance l'appel du 18 juin 1940 ?,CHARLES DE GAULLE
Quel mur a coupe Berlin en deux ?,MUR DE BERLIN
Quelle arme a ete utilisee a Hiroshima ?,BOMBE ATOMIQUE
Qui a dirige l'URSS pendant la Seconde Guerre mondiale ?,STALINE
Quel traite a mis fin a la Premiere Guerre mondiale ?,TRAITE DE VERSAILLES
En quelle annee les femmes ont-elles eu le droit de vote en France ?,1944
Qui a fonde la Veme Republique en 1958 ?,CHARLES DE GAULLE
Quelle guerre a oppose les USA et l'URSS sans combat direct ?,GUERRE FROIDE
Qui a ete le chef du gouvernement de Vichy ?,PETAIN
Quel president americain a ete assassine en 1963 ?,KENNEDY
En quelle annee a fini la guerre d'Algerie ?,1962
Qui a refuse de donner sa place dans un bus en 1955 ?,ROSA PARKS
Quel pays a envahi la Pologne en 1939 ?,ALLEMAGNE
Comment s'appelle le debarquement en Normandie ?,OVERLORD
Qui a milite pour l'independance de l'Inde ?,GANDHI
Quel est le nom de la resistance de Jean Moulin ?,CNR
Quelle organisation a ete creee pour maintenir la paix en 1945 ?,ONU
Qui a marche sur la Lune en 1969 ?,NEIL ARMSTRONG
En quelle annee l'URSS a-t-elle disparu ?,1991
Quel chancelier allemand a reuni l'Allemagne ?,BISMARCK
